Plot,Stand Age,Date Cored,Core,Ind_ID,X,Y,Nodule Number,Nodule Biomass,NCI
BEJ,19,6/21/2016,4_7,bej2,15,10,0,0,1241.1777
BEJ,19,6/21/2016,14_17,bej4,15,30,0,0,43.9117478
BEJ,19,6/21/2016,24_27,bej6,15,50,1,0.0045,2074.428582
BEJ,19,6/21/2016,34_37,bej8,15,70,0,0,816.718393
BEJ,19,6/21/2016,44_47,bej10,15,90,0,0,2392.05382
BEJ,19,6/21/2016,54_57,bej12,15,110,0,0,1222.119569
BEJ,19,6/21/2016,64_67,bej14,15,130,0,0,45.56697607
BEJ,19,6/21/2016,74_77,bej16,15,150,0,0,16.58963327
BEJ,19,6/21/2016,84_87,bej18,15,170,0,0,4.037199118
BEJ,19,6/21/2016,94_97,bej20,15,190,0,0,392.0856497
BEJ,19,6/21/2016,2_9,bej1,35,10,0,0,83.33722412
BEJ,19,6/21/2016,12_19,bej3,35,30,0,0,442.4068227
BEJ,19,6/21/2016,22_29,bej5,35,50,0,0,1133.201611
BEJ,19,6/21/2016,32_39,bej7,35,70,0,0,400.0369117
BEJ,19,6/21/2016,42_49,bej9,35,90,1,0.006,424.4977764
BEJ,19,6/21/2016,52_59,bej11,35,110,3,0.0246,97.56396406
BEJ,19,6/21/2016,62_69,bej13,35,130,0,0,546.4636807
BEJ,19,6/21/2016,72_79,bej15,35,150,0,0,51.3898894
BEJ,19,6/21/2016,82_89,bej17,35,170,0,0,0
BEJ,19,6/21/2016,92_99,bej19,35,190,3,0.081,0
JE,19,6/21/2016,4_7,je2,15,10,0,0,311.2281676
JE,19,6/21/2016,14_17,je4,15,30,0,0,0
JE,19,6/21/2016,24_27,je6,15,50,11,0.0169,491.5211142
JE,19,6/21/2016,34_37,je8,15,70,0,0,57.52769266
JE,19,6/21/2016,44_47,je10,15,90,0,0,81.76823016
JE,19,6/21/2016,54_57,je12,15,110,2,0.0849,270.1378408
JE,19,6/21/2016,64_67,je14,15,130,1,0.0055,704.8398338
JE,19,6/21/2016,74_77,je16,15,150,1,0.0201,0
JE,19,6/21/2016,84_87,je18,15,170,0,0,0
JE,19,6/21/2016,94_97,je20,15,190,0,0,180.5533709
JE,19,6/21/2016,2_9,je1,35,10,0,0,0
JE,19,6/21/2016,12_19,je3,35,30,7,0.2453,143.718698
JE,19,6/21/2016,22_29,je5,35,50,3,0.5916,12.88218515
JE,19,6/21/2016,32_39,je7,35,70,0,0,155.406734
JE,19,6/21/2016,42_49,je9,35,90,0,0,458.4759882
JE,19,6/21/2016,52_59,je11,35,110,0,0,1382.110862
JE,19,6/21/2016,62_69,je13,35,130,0,0,718.4606934
JE,19,6/21/2016,72_79,je15,35,150,2,0.0456,47.1033667
JE,19,6/21/2016,82_89,je17,35,170,0,0,59.51686974
JE,19,6/21/2016,92_99,je19,35,190,0,0,43.76035927
LEPP,100,6/17/2016,4_7,lepp2,15,10,0,0,34.36286398
LEPP,100,6/17/2016,14_17,lepp4,15,30,0,0,879.2784783
LEPP,100,6/17/2016,24_27,lepp6,15,50,1,0.0366,737.8538834
LEPP,100,6/17/2016,34_37,lepp8,15,70,0,0,418.2253925
LEPP,100,6/17/2016,44_47,lepp10,15,90,1,0.0001,801.261939
LEPP,100,6/17/2016,54_57,lepp12,15,110,0,0,355.9034819
LEPP,100,6/17/2016,64_67,lepp14,15,130,0,0,3045.711009
LEPP,100,6/17/2016,74_77,lepp16,15,150,0,0,20.19566593
LEPP,100,6/17/2016,84_87,lepp18,15,170,0,0,8.467486705
LEPP,100,6/17/2016,94_97,lepp20,15,190,0,0,400.9952646
LEPP,100,6/17/2016,2_9,lepp1,35,10,0,0,495.5623392
