plot,subplot.ID,subplot,BA,BAI,fixBA,fixBAI,nonBA,nonBAI,stand.age
BEJ,BEJ 1,1,1362.225991,50.5874957,1221.757529,50.5874957,140.4684615,0,19
BEJ,BEJ 10,10,3311.058015,50.461832,84.01404154,0.824668072,3227.043974,49.63716393,19
BEJ,BEJ 100,100,3251.092866,140.1464483,583.0560346,19.28152491,2668.036831,120.8649234,19
BEJ,BEJ 11,11,771.0646469,42.79634592,103.1856107,1.452986602,667.8790362,41.34335932,19
BEJ,BEJ 12,12,3298.130362,42.19158934,0,0,3298.130362,42.19158934,19
BEJ,BEJ 13,13,3229.392314,119.7732199,1158.666495,36.48174469,2070.72582,83.29147523,19
BEJ,BEJ 14,14,1358.935172,52.05619027,494.8086969,27.21404636,864.1264753,24.84214391,19
BEJ,BEJ 15,15,796.2052421,89.51968266,152.6342791,15.11106066,643.5709631,74.408622,19
BEJ,BEJ 16,16,2353.359203,59.54888875,232.4542944,44.3043104,2120.904908,15.24457835,19
BEJ,BEJ 17,17,4005.679859,150.2623766,1485.894785,78.97178533,2519.785074,71.29059129,19
BEJ,BEJ 18,18,1445.823771,34.1255502,56.08528285,2.010619298,1389.738488,32.1149309,19
BEJ,BEJ 19,19,2538.933081,140.1857182,28.27433388,0.934623814,2510.658747,139.2510944,19
BEJ,BEJ 2,2,1282.539493,40.67577088,98.52034562,8.600109889,1184.019147,32.07566099,19
BEJ,BEJ 20,20,1659.318554,106.7748803,576.7807032,22.94148035,1082.537851,83.83339996,19
BEJ,BEJ 21,21,3629.717612,100.6095047,3629.717612,100.6095047,0,0,19
BEJ,BEJ 22,22,7840.920463,244.1174571,2015.323833,60.51492849,5825.596629,183.6025287,19
BEJ,BEJ 23,23,3219.025059,97.86846514,1119.702892,37.69911184,2099.322167,60.1693533,19
BEJ,BEJ 24,24,2883.707167,26.66426765,611.3617844,43.03981935,2272.345382,-16.37555171,19
BEJ,BEJ 25,25,1383.580967,110.3955658,69.56271533,5.081526117,1314.018251,105.3140397,19
BEJ,BEJ 26,26,251.0446689,88.74213848,72.32731687,44.05298298,178.7173521,44.6891555,19
BEJ,BEJ 27,27,4565.488108,219.369561,4542.585897,218.529185,22.90221044,0.840376035,19
BEJ,BEJ 28,28,1525.180401,64.44191931,1525.180401,64.44191931,0,0,19
BEJ,BEJ 29,29,2647.14524,84.45386451,2647.14524,84.45386451,0,0,19
BEJ,BEJ 3,3,7794.142148,93.40740357,29.22466566,0.950331778,7764.917482,92.4570718,19
BEJ,BEJ 30,30,1150.17634,52.76304862,335.0430025,6.542366701,815.1333379,46.22068192,19
BEJ,BEJ 31,31,3042.137684,70.67798072,3020.07585,70.67798072,22.06183441,0,19
BEJ,BEJ 32,32,1359.909066,1.013163631,1359.909066,1.013163631,0,0,19
BEJ,BEJ 33,33,1321.086835,92.50419568,868.6974926,51.98550444,452.3893421,40.51869125,19
BEJ,BEJ 34,34,1390.555302,133.5648117,149.5712262,24.88141382,1240.984076,108.6833979,19
BEJ,BEJ 35,35,610.670634,113.2858311,123.5038612,74.80132108,487.1667728,38.48451001,19
BEJ,BEJ 36,36,283.1517459,117.4484414,0,0,283.1517459,117.4484414,19
BEJ,BEJ 37,37,2095.20668,105.219792,165.907508,7.414158662,1929.299172,97.80563329,19
BEJ,BEJ 38,38,1434.411936,56.24236248,860.4900818,56.24236248,573.9218539,0,19
BEJ,BEJ 39,39,3012.355386,33.09667861,0,0,3012.355386,33.09667861,19
BEJ,BEJ 4,4,2392.346368,137.2090591,21.23716634,21.23716634,2371.109201,115.9718928,19
BEJ,BEJ 40,40,2659.546677,92.61415143,2457.416605,83.66061237,202.1300713,8.953539063,19
BEJ,BEJ 41,41,1225.64525,54.65585819,936.0453851,42.76493,289.5998648,11.89092819,19
BEJ,BEJ 42,42,3716.009308,111.4951233,3716.009308,111.4951233,0,0,19
BEJ,BEJ 43,43,750.2123257,82.07410808,725.5822393,57.44402167,24.6300864,24.6300864,19
BEJ,BEJ 44,44,7623.852118,193.0665765,77.11039168,5.442809272,7546.741726,187.6237673,19
BEJ,BEJ 45,45,439.8858034,71.67543639,0,0,439.8858034,71.67543639,19
BEJ,BEJ 46,46,2112.56398,196.4359346,620.5980668,109.5866057,1491.965913,86.84932891,19
BEJ,BEJ 47,47,3692.180328,70.29313562,0,0,3692.180328,70.29313562,19
BEJ,BEJ 48,48,4903.177902,226.5323923,2678.207737,61.55950805,2224.970165,164.9728842,19
BEJ,BEJ 49,49,2625.106967,102.4551904,1927.12362,95.73218214,697.9833478,6.723008279,19
BEJ,BEJ 5,5,2914.157053,25.41548457,72.45298057,5.686282703,2841.704073,19.72920186,19
BEJ,BEJ 50,50,324.3694415,52.04833629,132.9679091,25.61968809,191.4015324,26.4286482,19
BEJ,BEJ 51,51,1478.205737,90.53284629,672.6464031,70.1753259,805.5593343,20.3575204,19
BEJ,BEJ 52,52,2781.330516,118.2416935,2748.147444,116.2310742,33.1830724,2.010619298,19
BEJ,BEJ 53,53,4916.466839,157.0639247,131.2007632,10.29656992,4785.266076,146.7673548,19
BEJ,BEJ 54,54,3814.356866,15.33097215,0,0,3814.356866,15.33097215,19
BEJ,BEJ 55,55,1357.474332,337.5562766,28.27433388,4.51603944,1329.199998,333.0402372,19
BEJ,BEJ 56,56,3795.358085,114.1183531,610.4507225,61.51238416,3184.907362,52.60596898,19
BEJ,BEJ 57,57,6447.357085,246.6307313,72.98705132,6.220353454,6374.370034,240.4103778,19
BEJ,BEJ 58,58,1700.536249,63.26382206,0,0,1700.536249,63.26382206,19
BEJ,BEJ 59,59,1367.74734,108.4713403,1083.016943,81.17090019,284.7303962,27.30044016,19
BEJ,BEJ 6,6,686.9485036,171.491689,65.03882191,14.77333945,621.9096817,156.7183495,19
BEJ,BEJ 60,60,1295.820576,108.9661412,1054.051459,58.6299729,241.7691166,50.33616829,19
