tree.id,Species_Code,X,Y,plot,sample.id,compass,core,core.x,core.y,nodule.num,nodule.spec,nodule.mass..g.,canopy,NCI,Stem_ID,Notes,fixNCI,tr.DAP,tr.height,tr.NCI,tr.fixNCI,tr.nh,tr.RH,nod.size,subplot.ID
1-007-000003,Pteroh,31.2,17.35,LEPS,1.1,10,1,30.11195778,15.67185694,0,NA,0,1,2764.291633,1-007-000003 _ 1,,393.7691984,13.1,13.80106795,3161.913954,162.9158005,14.46986854,0.953779774,NA,LEPS 7
1-007-000003,Pteroh,31.2,17.35,LEPS,1.2,130,2,29.3397881,16.61541734,0,NA,0,1,4087.86018,1-007-000003 _ 2,,463.1942411,13.1,13.80106795,3161.913954,162.9158005,14.46986854,0.953779774,NA,LEPS 7
1-007-000003,Pteroh,31.2,17.35,LEPS,1.3,250,3,29.25894396,17.83197661,0,NA,0,1,4549.367568,1-007-000003 _ 3,,346.9671093,13.1,13.80106795,3161.913954,162.9158005,14.46986854,0.953779774,NA,LEPS 7
1-014-000009(B),Penmac,33.4,29.1,LEPS,2.1,262,1,31.50341658,28.46519977,0,NA,0,5,2754.968944,1-014-000009(B) _ 1,,1859.008875,7.5,10.52795317,25287.88915,24268.44736,14.61952494,0.720129635,NA,LEPS 14
1-014-000009(B),Penmac,33.4,29.1,LEPS,2.2,22,2,33.38229738,27.10007835,0,NA,0,5,2408.075176,1-014-000009(B) _ 2,,1449.791785,7.5,10.52795317,25287.88915,24268.44736,14.61952494,0.720129635,NA,LEPS 14
1-014-000009(B),Penmac,33.4,29.1,LEPS,2.3,142,3,32.22440999,27.48198019,0,NA,0,5,2446.779751,1-014-000009(B) _ 3,,1467.721662,7.5,10.52795317,25287.88915,24268.44736,14.61952494,0.720129635,NA,LEPS 14
1-017-000005,Strmic,35,37.3,LEPS,4.1,309,1,36.80360275,38.16430152,0,NA,0,5,3859.932938,1-017-000005 _ 1,,2465.782922,58.6,28.55792903,2131.985484,1007.32063,12.90833723,2.212363104,NA,LEPS 17
1-017-000005,Strmic,35,37.3,LEPS,4.2,69,2,34.77043037,39.28678076,1,non pmac,0.0053,5,4025.474622,1-017-000005 _ 2,,3068.811241,58.6,28.55792903,2131.985484,1007.32063,12.90833723,2.212363104,0.0053,LEPS 17
1-017-000005,Strmic,35,37.3,LEPS,4.3,189,3,35.96663591,39.05088978,0,NA,0,5,3518.315165,1-017-000005 _ 3,,2425.586363,58.6,28.55792903,2131.985484,1007.32063,12.90833723,2.212363104,NA,LEPS 17
1-017-000007,Pteroh,34.8,39.6,LEPS,3.1,15,1,36.10057568,38.08062417,0,NA,0,0,4659.123153,1-017-000007 _ 1,,3415.389521,5.1,8.730593557,3469.160028,2502.906966,13.19737986,0.661539915,NA,LEPS 17
