"","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","core.id.mrg"
"1","BEJ_T_1.1","BEJ _ 1","BEJ",22.65340541,40.92437535,4.95,3.0996330255,1.1,0.62618849,1307.5995,138.10245,"BEJ _T_ 1.1"
"2","BEJ_T_1.2","BEJ _ 1","BEJ",23.54368914,41.75741022,5,3.13094245,1.2,0.62618849,1515.3585,92.34325,"BEJ _T_ 1.2"
"3","BEJ_T_1.3","BEJ _ 1","BEJ",22.41222269,39.72922551,5.05,3.1622518745,1.3,0.62618849,2710.9615,132.86895,"BEJ _T_ 1.3"
"4","BEJ_T_10.1","BEJ _ 10","BEJ",27.90949603,69.73891873,5.16,3.44032077828,10.1,0.666728833,1430.182,94.0785,"BEJ _T_ 10.1"
"5","BEJ_T_10.2","BEJ _ 10","BEJ",29.1263989,69.66342283,4.99,3.32697687667,10.2,0.666728833,1994.277,7.3243,"BEJ _T_ 10.2"
"6","BEJ_T_10.3","BEJ _ 10","BEJ",30.0733443,68.89540808,5.19,3.46032264327,10.3,0.666728833,2334.0295,197.8283,"BEJ _T_ 10.3"
"7","BEJ_T_11.1","BEJ _ 11","BEJ",17.50684656,79.84359123,5.17,3.16189250091,11.1,0.611584623,5225.388,36.8186,"BEJ _T_ 11.1"
"8","BEJ_T_11.2","BEJ _ 11","BEJ",19.82347601,80.00783955,4.98,3.04569142254,11.2,0.611584623,1693.4795,243.03995,"BEJ _T_ 11.2"
"9","BEJ_T_11.3","BEJ _ 11","BEJ",18.69144433,79.55500789,5,3.057923115,11.3,0.611584623,NA,NA,"BEJ _T_ 11.3"
"10","BEJ_T_12.1","BEJ _ 12","BEJ",26.46647941,85.43961169,5.06,3.11969924618,12.1,0.616541353,3019.109,295.17545,"BEJ _T_ 12.1"
"11","BEJ_T_12.2","BEJ _ 12","BEJ",26.9258905,87.71616412,4.99,3.07654135147,12.2,0.616541353,3189.109,0,"BEJ _T_ 12.2"
"12","BEJ_T_12.3","BEJ _ 12","BEJ",27.06047932,86.50437285,4.97,3.06421052441,12.3,0.616541353,2560.159,0,"BEJ _T_ 12.3"
